store,product,unit,price
Перекресток,Яйцо куриное Окское отборное С0,750 гр,"149,99 ₽"
Перекресток,Батон Коломенский Нарезной,400 гр,"73,99 ₽"
Перекресток,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930 мл,"114,99 ₽"
Перекресток,Сахар песок белый,1000 гр,"56,49 ₽"
Перекресток,Соль пищевая,500 гр,"36,99 ₽"
Перекресток,Крупа гречневая ядрица,900 гр,"37,39 ₽"
Перекресток,Масло Олейна подсолнечное,1000 мл,"144,99 ₽"
Перекресток,"Масло Брест-Литовск сливочное 82,5%",180 гр,"239,99 ₽"
Перекресток,Бедро куриное Петелинка,1000 гр,"489,99 ₽"
Перекресток,Чай Greenfield Golden Ceylon,200 гр,"369,99 ₽"
Перекресток,Картофель,1000 гр,"27,99 ₽"
Перекресток,Лук репчатый,1000 гр,"41,99 ₽"
Перекресток,Морковь,1000 гр,"79,99 ₽"
Перекресток,Капуста белокочанная,1000 гр,"22,99 ₽"
Перекресток,Яблоки,1000 гр,"139,99 ₽"
Лента,Яйцо куриное Окское отборное С0,10шт,
Лента,Батон Коломенский Нарезной,200г,
Лента,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,1000 гр,
Лента,Сахар песок белый,1кг,
Лента,Соль пищевая,1кг,
Лента,Крупа гречневая ядрица,900г,
Лента,Масло Олейна подсолнечное,1л,
Лента,"Масло Брест-Литовск сливочное 82,5%",180г,
Лента,Бедро куриное Петелинка,1000 гр,
Лента,Чай Greenfield Golden Ceylon,200г,
Лента,Картофель,1000 гр,
Лента,Лук репчатый,1000 гр,
Лента,Морковь,1000 гр,
Лента,Капуста белокочанная,1000 гр,
Лента,Яблоки,1000 гр,
