store,product,unit,price,date
Ашан,Яйцо куриное Окское отборное С0 10шт,10 шт,139.99 ₽,2025-11-15
Ашан,Батон Коломенский Нарезной 200г,200 г,46.99 ₽,2025-11-15
Ашан,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930 мл,101.96 ₽,2025-11-15
Ашан,Сахар песок белый 1кг,5 кг,264.95 ₽,2025-11-15
Ашан,Соль пищевая 1кг,1 кг,32.99 ₽,2025-11-15
Ашан,Крупа гречневая ядрица 900г,900 г,89.99 ₽,2025-11-15
Ашан,Масло Олейна подсолнечное 1л,650 мл,139.99 ₽,2025-11-15
Ашан,"Масло Брест-Литовск сливочное 82,5% 180г",180 г,219.99 ₽,2025-11-15
Ашан,Бедро куриное Петелинка,2 кг,259.99 ₽,2025-11-15
Ашан,Чай Greenfield Golden Ceylon 200г,100 г,149.99 ₽,2025-11-15
Ашан,Картофель,2 кг,169.99 ₽,2025-11-15
Ашан,Лук репчатый,1 кг,34.99 ₽,2025-11-15
Ашан,Морковь,1 кг,49.99 ₽,2025-11-15
Ашан,Капуста белокочанная,1 кг,24.99 ₽,2025-11-15
Ашан,Яблоки,1 кг,169.99 ₽,2025-11-15
