store,product_group,product_clean,product_norm,brand,price,quantity,unit_normalized,date
738484.ru,Сахар,Сахар,1 белый кусковой рафинированный русский сахар сахар,No Brand,118.0,1000.0,g,2026-05-02
Attacher,Сахар,Сахар,1кг белый деловой кусковой сахар стандарт,No Brand,167.0,1000.0,g,2026-05-02
Attacher,Соль,Соль,1 крупная пищевая соль,No Brand,46.0,1000.0,g,2026-05-02
Fix Price,Сахар,Сахар,1 белый кристаллический русский сахар сахар,No Brand,69.0,1000.0,g,2026-05-02
FruitOnline,Капуста,Капуста,1кг белокочанная капуста,No Brand,57.0,1000.0,g,2026-05-02
FruitOnline,Лук,Лук,1кг лук репчатый,No Brand,62.0,1000.0,g,2026-05-02
FruitOnline,Морковь,Морковь,1кг молодая морковь,No Brand,214.0,1000.0,g,2026-05-02
FruitOnline,Яблоки,Яблоки,1 гала яблоки,No Brand,92.0,1000.0,g,2026-05-02
GIPERMIX.RU,Сахар,Сахар,1000г 10шт белый деловой кусковой сахар сахар стандарт,No Brand,1.0,1000.0,g,2026-05-02
GIPERMIX.RU,Соль,Соль,1 80015 к крупная пакет пищевая пэт соль ш,No Brand,38.0,1000.0,g,2026-05-02
METRO,Капуста,Капуста,белокочанная капуста молодая,No Brand,19.0,1000.0,g,2026-05-02
METRO,Крупа Гречневая Мистраль Фермерская,Крупа Гречневая Мистраль Фермерская,900г гречневая крупа мистраль фермерская,Мистраль,144.0,900.0,g,2026-05-02
METRO,Крупа Гречневая Националь Ядрица,Крупа Гречневая Националь Ядрица,900г гречневая крупа националь ядрица,No Brand,90.0,900.0,g,2026-05-02
METRO,Лук,Лук,лук репчатый,No Brand,35.0,1000.0,g,2026-05-02
METRO,Масло подсолнечное,Масло подсолнечное,1л масло олейна подсолнечное рафинированное,Олейна,134.0,1000.0,ml,2026-05-02
METRO,Масло Брест Литовск Сливочное,Масло сливочное,180г 5 82 брест литовск масло сливочное,Брест-Литовск,249.0,180.0,g,2026-05-02
