store,product,unit,price,date
Ашан,Яйцо куриное Окское отборное С0 10шт,10шт,,2025-12-27
Ашан,Батон Коломенский Нарезной 200г,200г,,2025-12-27
Ашан,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,1 кг,,2025-12-27
Ашан,Сахар кусковой белый 1кг,1кг,,2025-12-27
Ашан,Соль пищевая 1кг,1кг,,2025-12-27
Ашан,Крупа гречневая Мистраль 900г,900г,,2025-12-27
Ашан,Масло Олейна подсолнечное 1л,180 г,149.99 ₽,2025-12-27
Ашан,"Масло Брест-Литовск сливочное 82,5% 180г",180 г,189.99 ₽,2025-12-27
Ашан,Филе грудки цыпленка Петелинка,250 г,159.99 ₽,2025-12-27
Ашан,Чай Greenfield Golden Ceylon 100г,100 г,149.99 ₽,2025-12-27
Ашан,"Картофель красный, вес",1 кг,37.99 ₽,2025-12-27
Ашан,Лук репчатый,20 г,64.99 ₽,2025-12-27
Ашан,Социальный товар Морковь,1 кг,21.99 ₽,2025-12-27
Ашан,Капуста белокочанная,200 г,89.99 ₽,2025-12-27
Ашан,Яблоки сезонные,1 кг,179.99 ₽,2025-12-27
