store,product,unit,price,date
Дикси,Яйцо куриное Окское отборное С0 10шт,10шт,"138,90 ₽",2025-11-14
Дикси,Батон Коломенский Нарезной 200г,200г,"35,99 ₽",2025-11-14
Дикси,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930мл,"104,90 ₽",2025-11-14
Дикси,Сахар песок белый 1кг,1кг,"52,99 ₽",2025-11-14
Дикси,Соль пищевая 1кг,1кг,"10,99 ₽",2025-11-14
Дикси,Крупа гречневая ядрица 900г,900г,"99,99 ₽",2025-11-14
Дикси,Масло Олейна подсолнечное 1л,1л,"179,90 ₽",2025-11-14
Дикси,"Масло Брест-Литовск сливочное 82,5% 180г",180г,"209,90 ₽",2025-11-14
Дикси,Бедро куриное Петелинка,1000 гр,"569,90 ₽",2025-11-14
Дикси,Чай Greenfield Golden Ceylon 200г,200г,"259,90 ₽",2025-11-14
Дикси,Картофель,1000 гр,"27,89 ₽",2025-11-14
Дикси,Лук репчатый,1000 гр,"37,39 ₽",2025-11-14
Дикси,Морковь,1000 гр,"18,99 ₽",2025-11-14
Дикси,Капуста белокочанная,1000 гр,"24,99 ₽",2025-11-14
Дикси,Яблоки,1000 гр,"169,90 ₽",2025-11-14
