store,product,unit,price,date
Глобус,Яйцо куриное Окское С0 10шт,10шт,139.99 ₽,2026-01-23
Глобус,Батон Коломенский Нарезной 200г,200г,48.99 ₽,2026-01-23
Глобус,Молоко Простоквашино отборное пастеризованное,1 кг,,2026-01-23
Глобус,Сахар кусковой белый 1кг,1кг,139.99 ₽,2026-01-23
Глобус,Соль пищевая 1кг,1кг,29.49 ₽,2026-01-23
Глобус,Крупа гречневая Мистраль 900г,900г,128.99 ₽,2026-01-23
Глобус,Масло Олейна подсолнечное 1л,1л,159.99 ₽,2026-01-23
Глобус,"Масло Брест-Литовск сливочное 82,5% 180г",180г,204.99 ₽,2026-01-23
Глобус,Филе грудки цыпленка Петелинка,1 кг,,2026-01-23
Глобус,Чай Greenfield Golden Ceylon 100г,100г,149.99 ₽,2026-01-23
Глобус,Картофель,1 кг,,2026-01-23
Глобус,Лук репчатый,1 кг,38.99 ₽,2026-01-23
Глобус,морковь вес,1 кг,29.99 ₽,2026-01-23
Глобус,Капуста белокочанная,1 кг,31.99 ₽,2026-01-23
Глобус,Яблоки,1 кг,94.99 ₽,2026-01-23
