store,product,unit,price,date
Лента,Яйцо куриное Окское С1 10шт,1 кг,,2026-08-25
Лента,Батон Коломенский Нарезной 200г,1 кг,,2026-08-25
Лента,Молоко пастеризованное ПРОСТОКВАШИНО отборное,1 кг,,2026-08-25
Лента,Сахар кусковой белый 1кг,1 кг,,2026-08-25
Лента,Соль пищевая 1кг,1 кг,,2026-08-25
Лента,Крупа гречневая Мистраль 900г,1 кг,,2026-08-25
Лента,Масло Олейна подсолнечное 1л,1 кг,,2026-08-25
Лента,"Масло Брест-Литовск сливочное 82,5% 180г",1 кг,,2026-08-25
Лента,Филе грудки цыпленка Петелинка,1 кг,,2026-08-25
Лента,Чай Greenfield Golden Ceylon 100г,1 кг,,2026-08-25
Лента,Картофель,1 кг,,2026-08-25
Лента,Лук репчатый,1 кг,,2026-08-25
Лента,Морковь,1 кг,,2026-08-25
Лента,Капуста белокочанная,1 кг,,2026-08-25
Лента,Яблоки Гала,1 кг,,2026-08-25
