store,product,unit,price,date
Перекресток,Яйцо куриное Окское отборное С0,750 гр,"149,99 ₽",2025-11-13
Перекресток,Батон Коломенский Нарезной,400 гр,"73,99 ₽",2025-11-13
Перекресток,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930 мл,"114,99 ₽",2025-11-13
Перекресток,Сахар песок белый,1000 гр,"56,49 ₽",2025-11-13
Перекресток,Соль пищевая,500 гр,"36,99 ₽",2025-11-13
Перекресток,Крупа гречневая ядрица,900 гр,"37,39 ₽",2025-11-13
Перекресток,Масло Олейна подсолнечное,1000 мл,"144,99 ₽",2025-11-13
Перекресток,"Масло Брест-Литовск сливочное 82,5%",180 гр,"239,99 ₽",2025-11-13
Перекресток,Бедро куриное Петелинка,1000 гр,"489,99 ₽",2025-11-13
Перекресток,Чай Greenfield Golden Ceylon,200 гр,"369,99 ₽",2025-11-13
Перекресток,Картофель,1000 гр,"27,99 ₽",2025-11-13
Перекресток,Лук репчатый,1000 гр,"41,99 ₽",2025-11-13
Перекресток,Морковь,1000 гр,"79,99 ₽",2025-11-13
Перекресток,Капуста белокочанная,1000 гр,"22,99 ₽",2025-11-13
Перекресток,Яблоки,1000 гр,"139,99 ₽",2025-11-13
