store,product,unit,price,date
Пятерочка,Яйцо куриное Окское отборное С0 10шт,10 шт,"139,99 ₽",2025-12-27
Пятерочка,Батон Коломенский Нарезной 200г,400 г,"76,99 ₽",2025-12-27
Пятерочка,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930 мл,"99,99 ₽",2025-12-27
Пятерочка,Сахар кусковой белый 1кг,250 г,"51,99 ₽",2025-12-27
Пятерочка,Соль пищевая 1кг,1 кг,"37,99 ₽",2025-12-27
Пятерочка,Крупа гречневая Мистраль 900г,900 г,"139,99 ₽",2025-12-27
Пятерочка,Масло Олейна подсолнечное 1л,650 мл,"135,99 ₽",2025-12-27
Пятерочка,"Масло Брест-Литовск сливочное 82,5% 180г",180 г,"219,99 ₽",2025-12-27
Пятерочка,Филе грудки цыпленка Петелинка,Цена за 1 кг,"549,99 ₽",2025-12-27
Пятерочка,Чай Greenfield Золотой Цейлон 100г,25 шт,"109,99 ₽",2025-12-27
Пятерочка,Картофель отечественный,Цена за 1 кг,"44,99 ₽",2025-12-27
Пятерочка,Лук репчатый,Цена за 1 кг,"53,49 ₽",2025-12-27
Пятерочка,Морковь,Цена за 1 кг,"20,99 ₽",2025-12-27
Пятерочка,Капуста белокочанная,Цена за 1 кг,"25,99 ₽",2025-12-27
Пятерочка,Яблоки сезонные,Цена за 1 кг,"159,99 ₽",2025-12-27
