store,product,unit,price,date
Впрок,Яйца Окское С1 белые 10шт,10шт,28,2026-02-25
О’КЕЙ,Яйцо куриное С1 Окское 10шт,10шт,163,2026-02-25
pticaopt.ru,Яйцо куриное Окское 1-й категории 10 штук оптом со склада в Москве,10 шт,95,2026-02-25
myspar.ru,Яйцо Куриное Окское Столовое С1 10шт,10шт,130,2026-02-25
online.metro-cc.ru,"Яйцо куриное Окское столовое С1, 10шт",10шт,124,2026-02-25
Гипермаркет «Глобус» ИМ,"Яйца куриные Окское C1, белые, 10шт",10шт,124,2026-02-25
kuper.ru,Яйцо куриное Окское C1 белое 10 шт,10 шт,99,2026-02-25
OZON,Яйцо Окское С1 белые 10шт,10шт,110,2026-02-25
Доставка DIXY,Яйцо куриное Окское столовое С1 10шт,10шт,110,2026-02-25
vodovoz.ru,Яйцо куриное С1 Окское 10 шт,10 шт,225,2026-02-25
mosprivoz.ru,Яйцо куриное С1 Окское 10 шт,10 шт,214,2026-02-25
АШАН,"Яйца куриные Окское С1 белое, 10 шт",10 шт,110,2026-02-25
vodovoz.ru,Яйцо куриное С1 Окское 10 шт,10 шт,225,2026-02-25
OZON,"Яйца куриные окское С1, 10шт",10шт,183,2026-02-25
Перекресток,"Яйцо куриное Окское Столовое с1, 10шт",10шт,155,2026-02-25
kuper.ru,Яйцо куриное Окское C1 белое 10 шт,10 шт,125,2026-02-25
vodovoz.ru,Яйцо куриное Окское С0 белое 10 шт,10 шт,290,2026-02-25
OZON,"Яйцо куриное Окское столовое С1, 10шт",10шт,335,2026-02-25
myspar.ru,Яйцо Куриное Окское Столовое СВ 10шт,10шт,150,2026-02-25
vodovoz.ru,Яйцо куриное Окское С0 белое 10 шт,10 шт,290,2026-02-25
vodovoz.ru,Яйцо куриное С1 Окское 10 шт,10 шт,225,2026-02-25
Мегамаркет,"Яйца куриные Окское С1 белое, 30 шт",30 шт,345,2026-02-25
Перекресток,"Яйцо Окское столовое со, 10шт",10шт,140,2026-02-25
Мегамаркет,"Яйца куриные Окское С1 белое, 10 шт",10 шт,97,2026-02-25
Мегамаркет,Яйцо куриное Окское СВ 10 шт,10 шт,184,2026-02-25
5ka.ru,Яйцо куриное Окское столовое со 10шт.,10шт,130,2026-02-25
online.metro-cc.ru,"Яйцо куриное Окское СВ столовое, 10шт",10шт,169,2026-02-25
О’КЕЙ,Батон Нарезной 200г Коломенский,200г,40,2026-02-25
myspar.ru,Батон Нарезной Классический 200г,200г,36,2026-02-25
Впрок,Батон Коломенский Нарезной нарезка 200г,200г,41,2026-02-25
bliznetsy24.ru,"Батон Коломенский нарезной пшеничный в нарезке, 200 г",200 г,46,2026-02-25
OZON,Батон Черемушки Нарезной пшеничный в нарезке 200 г,200 г,132,2026-02-25
"Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠","Батон черемушки Нарезной, высший сорт, в нарезке, 200г",200г,40,2026-02-25
Мегамаркет,"Батон нарезной ашан Красная птица в нарезку, 200 г",200 г,21,2026-02-25
Мясницкий Ряд,"Хлеб батон нарезной, в/с, 200г",200г,49,2026-02-25
myspar.ru,Батон Нарезной Половинка 200г,200г,37,2026-02-25
Гипермаркет «Глобус» ИМ,"Батон Нарезной Коломенское, нарезка, 200г",200г,45,2026-02-25
Доставка DIXY,"Батон ""Аладушкин"" Высший сорт, половинка, нарезной, 200 г",200 г,17,2026-02-25
OZON,Батон Пеко Нарезной пшеничный 200 г,200 г,148,2026-02-25
OZON,"Батон ""Нарезной"" в нарезке, 200 г, Коломенский",200 г,47,2026-02-25
Мегамаркет,Батон Хлеб Нарезной Пшеничный Половинка В Нарезке 200 г,200 г,26,2026-02-25
АШАН,"Батон Каждый день нарезной, 200 г",200 г,24,2026-02-25
online.metro-cc.ru,"Батон Коломенский нарезной высший сорт, 200г",200г,44,2026-02-25
online.metro-cc.ru,"Батон Волжский пекарь нарезной нарезка, 200г",200г,25,2026-02-25
OZON,Батон Нарезной нарезанный БКК Коломенский 200г,200г,53,2026-02-25
bliznetsy24.ru,"Батон Пеко пшеничный нарезной, 200 г",200 г,26,2026-02-25
bliznetsy24.ru,"Батон Пеко пшеничный нарезной, 200 г",200 г,26,2026-02-25
5ka.ru,Батон Черемушки Нарезной нарезка 200г,200г,42,2026-02-25
Гипермаркет «Глобус» ИМ,"Батон нарезной Пеко нарезка, 200г",200г,36,2026-02-25
АШАН,"Батон пшеничный нарезной белый Коломенский высший сорт половинка нарезка ГОСТ, 200 г",200 г,45,2026-02-25
АШАН,"Батон пшеничный нарезной белый ашан Красная птица высший сорт нарезка, 200 г",200 г,34,2026-02-25
Доставка DIXY,Батон Коломенский Нарезной 200г,200г,42,2026-02-25
Доставка DIXY,Батон Волжский Пекарь нарезной 200г,200г,33,2026-02-25
АШАН,Батон БКК подмосковный нарезной 200 г,200 г,36,2026-02-25
Доставка DIXY,Батон нарезной Переславский ХЗ Новый нарезанный 200г,200г,47,2026-02-25
bliznetsy24.ru,"Батон Пеко нарезной пшеничный в нарезке, 200 г",200 г,50,2026-02-25
myspar.ru,Батон Нарезной Половинка в Нарезке 200г,200г,49,2026-02-25
OZON,Батон нарезной половинка нарезанный Черемушки 200г,200г,42,2026-02-25
Мегамаркет,Батон Лента Нарезной пшеничный половинка в нарезке 200 г,200 г,32,2026-02-25
АШАН,"Батон пшеничный нарезной белый СибХлеб летний нарезка, 200 г",200 г,36,2026-02-25
Доставка DIXY,Батон Нарезной Орловский ХК нарезка 200г,200г,35,2026-02-25
Доставка DIXY,Батон Черемушки Нарезной нарезка 200г,200г,40,2026-02-25
Мегамаркет,Батон Пеко Нарезной пшеничный 200 г,200 г,36,2026-02-25
Мегамаркет,Батон Лента Нарезной пшеничный половинка в нарезке 200 г,200 г,32,2026-02-25
АШАН,"Батон пшеничный нарезной белый СибХлеб летний нарезка, 200 г",200 г,36,2026-02-25
Доставка DIXY,Батон Нарезной Орловский ХК нарезка 200г,200г,35,2026-02-25
Доставка DIXY,Батон Черемушки Нарезной нарезка 200г,200г,40,2026-02-25
lavka.yandex.ru,Батон Нарезной «Коломенское» в нарезке,,52,2026-02-25
Доставка DIXY,Батон Нарезной Орловский ХК нарезка 200г,200г,35,2026-02-25
bliznetsy24.ru,"Батон Королёвский хлеб нарезной пшеничный в нарезке, 200 г",200 г,38,2026-02-25
АШАН,"Батон Каждый день нарезной, 200 г",200 г,20,2026-02-25
apeti.ru,Батон нарезной,,99,2026-02-25
kuper.ru,Батон Коломенский Нарезной пшеничный в нарезке 200 г,200 г,59,2026-02-25
"Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠","Батон лента половинка, в нарезке, 200г",200г,27,2026-02-25
igooods.ru,Батон Нарезной Московский ТМ Хлебный дом,,51,2026-02-25
delicity.ru,"Батон Нарезной, 1 шт",1 шт,40,2026-02-25
АШАН,"Батон пшеничный нарезной белый Хлебозавод 22 ГОСТ, 500 г",22 г,65,2026-02-25
online.metro-cc.ru,"Батон Русский хлеб Нарезной в нарезке, 200г",200г,37,2026-02-25
online.metro-cc.ru,"Батон Донское жито нарезной, 200г",200г,52,2026-02-25
АШАН,"Батон пшеничный нарезной белый Черемушки половинка нарезка, 200 г",200 г,41,2026-02-25
Мегамаркет,Хлеб белый Коломенский Нарезной 200 г,200 г,42,2026-02-25
Доставка DIXY,Батон Хлебный дом Утренний половинка 200г,200г,39,2026-02-25
kuper.ru,Батон ашан Красная птица Нарезной пшеничный в нарезке 200 г,200 г,34,2026-02-25
kuper.ru,Батон Черемушки Нарезной пшеничный половинка в нарезке 200 г,200 г,38,2026-02-25
Доставка DIXY,Батон ЗАО Хлеб Нарезной нарезка половина 200г,200г,40,2026-02-25
kuper.ru,Батон Лента Нарезной пшеничный половинка в нарезке 200 г,200 г,32,2026-02-25
Доставка DIXY,Батон Русский хлеб Нарезной нарезка 200г,200г,32,2026-02-25
Доставка DIXY,Батон ХПП №1 Нарезной ГОСТ 200г,200г,30,2026-02-25
Доставка DIXY,Батон нарезной 200Г королёвский,200г,38,2026-02-25
kuper.ru,Батон ВкусВилл нарезной половинка пшеничный 200 г,200 г,42,2026-02-25
Мегамаркет,Батон Селяночка пшеничный в нарезке 200 г,200 г,30,2026-02-25
⁠Доставка DIXY,"Молоко Простоквашино 3,4-4,5% 930мл отборное пастеризованное",930мл,99,2026-02-25
⁠О’КЕЙ,"Молоко пастеризованное Простоквашино отборное 3,4-4,5% 930мл бзмж",930мл,100,2026-02-25
⁠Перекресток,"Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 0.93л",93л,105,2026-02-25
⁠OZON,"Молоко питьевое простоквашино пастеризованное отборное 3,4%-4,5% ПЭТ без змж, 930мл",930мл,234,2026-02-25
⁠Мегамаркет,"Молоко пастеризованное «Простоквашино» 3,4%-4,5% бзмж охлажденное, 930 мл",930 мл,99,2026-02-25
