store,product,unit,price,date
Дикси,Яйцо куриное Окское отборное С0 10шт,10шт,,2025-11-13
Дикси,Батон Коломенский Нарезной 200г,200г,,2025-11-13
Дикси,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,1000 гр,,2025-11-13
Дикси,Сахар песок белый 1кг,1кг,,2025-11-13
Дикси,Соль пищевая 1кг,1кг,,2025-11-13
Дикси,Крупа гречневая ядрица 900г,900г,,2025-11-13
Дикси,Масло Олейна подсолнечное 1л,1л,,2025-11-13
Дикси,"Масло Брест-Литовск сливочное 82,5% 180г",180г,,2025-11-13
Дикси,Бедро куриное Петелинка,1000 гр,,2025-11-13
Дикси,Чай Greenfield Golden Ceylon 200г,200г,,2025-11-13
Дикси,Картофель,1000 гр,,2025-11-13
Дикси,Лук репчатый,1000 гр,,2025-11-13
Дикси,Морковь,1000 гр,,2025-11-13
Дикси,Капуста белокочанная,1000 гр,,2025-11-13
Дикси,Яблоки,1000 гр,,2025-11-13
