store,product,unit,price,date
Пятерочка,Яйцо куриное Окское отборное С0 10шт,10 шт,"134,99 ₽",2025-11-13
Пятерочка,Батон Коломенский Нарезной 200г,400 г,"73,99 ₽",2025-11-13
Пятерочка,Молоко Простоквашино отборное пастеризованное 3.4-4.5%,930 мл,"99,99 ₽",2025-11-13
Пятерочка,Сахар песок белый 1кг,1 кг,"54,99 ₽",2025-11-13
Пятерочка,Соль пищевая 1кг,1 кг,"37,99 ₽",2025-11-13
Пятерочка,Крупа гречневая ядрица 900г,450 г,"119,99 ₽",2025-11-13
Пятерочка,Масло Олейна подсолнечное 1л,650 мл,"129,99 ₽",2025-11-13
Пятерочка,"Масло Брест-Литовск сливочное 82,5% 180г",180 г,"289,99 ₽",2025-11-13
Пятерочка,Бедро куриное Петелинка,Цена за 1 кг,"569,99 ₽",2025-11-13
Пятерочка,Чай Greenfield Golden Ceylon 200г,100 шт,"329,99 ₽",2025-11-13
Пятерочка,Картофель,Цена за 1 кг,"89,99 ₽",2025-11-13
Пятерочка,Лук репчатый,Цена за 1 кг,"38,99 ₽",2025-11-13
Пятерочка,Морковь,Цена за 1 кг,"19,99 ₽",2025-11-13
Пятерочка,Капуста белокочанная,Цена за 1 кг,"24,99 ₽",2025-11-13
Пятерочка,Яблоки,Цена за 1 кг,"169,99 ₽",2025-11-13
